,age,maritalstatus,education,vh14p,vh12g,vh12p,vh10g,vh10p,vh08g,vh08p,vh06g,vh06p,vh04g,vh04p,vh02g,vh02p,vh00g,vh00p,net_worth,home_owner_or_renter,g08_precinct_turnout,g10_precinct_turnout,g12_precinct_turnout,p08_precinct_turnout,p10_precinct_turnout,p12_precinct_turnout,vote_prob
30091,0.2962962962962962,1.0,0.7272727272727273,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.8,0.71,0.7857142857142856,0.28,0.42,0.31,0.7999999999999995
19557,0.1111111111111111,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.72,0.65,0.7142857142857144,0.19,0.31,0.18,0.13333333333333322
16581,0.13580246913580246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.7000000000000001,0.56,0.7571428571428573,0.14,0.23,0.18,0.06666666666666668
7284,0.617283950617284,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.42,0.3,0.3428571428571429,0.07,0.1,0.09,1.0621861520371949e-16
18115,0.3333333333333333,1.0,0.7272727272727273,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.0,0.63,0.5,0.7,0.08,0.18,0.12,0.533333333333333
45457,0.2345679012345679,1.0,0.4545454545454546,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6900000000000001,0.58,0.7142857142857144,0.16,0.26,0.14,0.4000000000000001
37993,0.4074074074074074,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43,0.34,0.3714285714285715,0.09,0.14,0.11,0.8666666666666665
2309,0.037037037037037035,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.67,0.56,0.6857142857142857,0.15,0.24,0.18,0.06666666666666658
40671,0.43209876543209874,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.72,0.59,0.6857142857142857,0.13,0.22,0.14,0.06666666666666668
8124,0.13580246913580246,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.31,0.26,0.21428571428571436,0.06,0.1,0.07,0.06666666666666653
10416,0.6049382716049383,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.0,0.52,0.44,0.4428571428571429,0.18,0.22,0.15,0.4666666666666664
24227,0.7407407407407407,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.38,0.5285714285714287,0.05,0.09,0.06,0.13333333333333347
15338,0.5061728395061729,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5700000000000001,0.49,0.5142857142857145,0.19,0.28,0.18,0.4
8099,0.08641975308641975,0.5,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.64,0.51,0.5999999999999999,0.09,0.19,0.13,0.2666666666666666
41673,0.12345679012345678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42,0.3,0.3428571428571429,0.07,0.1,0.09,0.0
13489,0.4197530864197531,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.7000000000000001,0.61,0.7285714285714286,0.14,0.26,0.16,0.7333333333333333
12904,0.13580246913580246,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.58,0.53,0.5285714285714287,0.19,0.31,0.2,0.3999999999999997
22063,0.4074074074074074,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.59,0.67,0.7142857142857144,0.21,0.56,0.52,0.1999999999999999
33841,0.7530864197530864,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.625,0.0,0.8,0.72,0.8142857142857143,0.16,0.33,0.19,0.06666666666666674
10049,0.5185185185185186,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.67,0.52,0.5999999999999999,0.12,0.21,0.13,0.1333333333333337
13107,0.7901234567901234,1.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.59,0.5700000000000001,0.7142857142857144,0.12,0.22,0.18,0.13333333333333355
10145,0.19753086419753085,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.63,0.48,0.6142857142857143,0.1,0.15,0.09,0.26666666666666666
25986,0.4938271604938271,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.73,0.6900000000000001,0.7714285714285714,0.15,0.27,0.15,0.5333333333333332
9808,0.4567901234567901,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,1.0,0.64,0.5,0.5999999999999999,0.09,0.19,0.1,1.1280532324611727e-17
